org_key,year,event_key,team_key,driverYearsOnDriveTeam,humanPlayerYearsOnDriveTeam,coachYearsOnDriveTeam,driveBaseMultiSelect,DrivetrainQuality,driveBaseLength,driveBaseWidth,robotHeight,robotWeight,driveCenterOfGravity,electricalWiring,mechanicalQuality,canPickupCoralGround,canPickupAlgaeground,canPickupCoralFeedstation,canPickupAlgaeReef,ProgrammingLanguage,scoreL1,scoreL2,scoreL3,scoreL4,scoreProcessor,scoreNet,usualStrategy,StartProcess,StartCenter,StartFar,describeAuto,CageClimb,comments
frc4467,2025,2025tnkn,frc21,"4","0","10","Rev Swerve","","29","29","3’6 ","115","Middle (Kinda Top Heavy)","2.5","","0","0","1","1","JavaScript","1","1","1","1","0","0","Score in L4 and L3","0","1","0","A4","Deep",""
frc4467,2025,2025tnkn,frc233,"4","1","5","Rev Swerve","","27","27","41 3/4 in","115","Middle (Kinda Top Heavy)","1","","0","1","1","1","Java ","1","1","1","1","1","0","Fill up L4 and get 2 algae in processor","0","1","0","K4 and G4","Deep","Need to be tested "
frc4467,2025,2025tnkn,frc538,"1","1","1","SDS MK4 LT1","1","29","29","41","96","Middle (Kinda Top Heavy)","3","2","0","0","0","1","Java","0","0","0","0","1","1","Algae off reef and score in the barge and processor and defense if needed","1","1","1","Taxi","Deep",""
frc4467,2025,2025tnkn,frc801,"4","2","10","Custom Swerve","1","30","20","40","113 w/o bumpers and battery","Low (Not top heavy)","1","1","0","1","1","1","Python ","1","1","1","1","1","1","Offense coral algae if needed ","1","0","1","E4, c4 mirrored version as well ","Deep",""
frc4467,2025,2025tnkn,frc1014,"3","0","10","SDS MK4 LT2","1","36","36","36 starting","close to 115","Middle (Kinda Top Heavy)","3","5","0","1","1","1","Java ","1","1","1","1","1","0","“break down and play defense”","0","1","0","mobility, maybe 1 L4","Deep","climb has not been tested yet"
frc4467,2025,2025tnkn,frc1466,"2","1","2","SDS MK4 LT1","1","28","28","40","105","Middle (Kinda Top Heavy)","1","1","0","0","1","1","Java","0","1","1","1","1","1","Cycling clear reef coral","0","1","0","J2","Park",""
frc4467,2025,2025tnkn,frc1592,"3","2","3","SDS MK4 LT1","","28","29","41.5","114.5","Low (Not top heavy)","","","0","1","1","1","Python","1","1","1","1","1","0","Focus on coral from hp","1","1","1","K4 or l4 c4 or d4 a4 or b4","Deep",""
frc4467,2025,2025tnkn,frc1708,"1","1","10","Rev Swerve","","26","27","42","115","Middle (Kinda Top Heavy)","1.2","","0","0","1","1","Java","1","1","1","1","0","0","focus on coral ranking point","1","0","0","IJ 4","Deep",""
frc4467,2025,2025tnkn,frc2393,"0","0","3","Rev Swerve","","26","26","40 in","95 lbs","Low (Not top heavy)","1.3","","0","0","1","1","Java","1","1","1","1","0","0","Fill up L3 and L2","1","1","1","J-E  all levels","Park",""
frc4467,2025,2025tnkn,frc2614,"1","3","1","SDS MK4 LT4","1","28","28","40","110","Middle (Kinda Top Heavy)","1","1","0","1","1","1","Java","1","1","1","1","1","0","L4 down from hp and algae in processor","1","1","1","Non processor side j4 hp k4 hp l4Processor side e4 hp d4","Deep",""
frc4467,2025,2025tnkn,frc2856,"2","3","4","Rev Swerve","2","30","30","75 ","80","Low (Not top heavy)","3","2","1","0","1","0","Java","1","1","1","0","0","0","Coral","1","1","1","F4","Deep","Deep climb “theoretically”"
frc4467,2025,2025tnkn,frc3139,"2","2","2","Rev Swerve","2","29","29","36","70-80","Low (Not top heavy)","3.5","2.5","0","0","1","0","java","1","0","0","0","0","0","coral cycle l1 or defense ","0","0","0","no working auto yet","Park",""
frc4467,2025,2025tnkn,frc3140,"3","1","5","SDS MK4 LT1","","29","29","42","114","Low (Not top heavy)","","","0","1","1","1","Java","0","1","1","1","1","0","Flexible ","1","1","1","Leave line","Park",""
frc4467,2025,2025tnkn,frc3324,"3","2","1","SDS MK4 LT4","1","29","29","40","112","Middle (Kinda Top Heavy)","2","2","0","0","1","1","Java","1","1","1","1","1","0","Hp to l4 work down","1","1","1","Center g4 Non processor side j4 hp l4Processor side f4 hp g4","Park",""
frc4467,2025,2025tnkn,frc3492,"2","2","10","Rev Swerve","","27.5”","25”","41”","107","Middle (Kinda Top Heavy)","1.4","","0","0","1","0","Java","1","1","1","1","0","0","play good offense, willing to play defense start at L4 but fill in where needed","1","1","1","A/B 4","Park",""
frc4467,2025,2025tnkn,frc3504,"2","3","2","Rev Swerve","","28","28","41.5 in","100 lbs","Low (Not top heavy)","2.5","","0","0","1","1","Java","1","1","1","1","1","1","Coral and algae","0","1","1","Score L4 mainly or score algae in processor, safely 2 piece auto","Park",""
frc4467,2025,2025tnkn,frc3821,"3","2","2","Kitbot Chassis  AM14U","5","32","31","35","80","Low (Not top heavy)","5","5","0","0","1","0","Java","1","0","0","0","0","0","L1 hp defense","0","0","0","No auto","Park",""
frc4467,2025,2025tnkn,frc3824,"1","1","2","SDS MK4 LT3","1","30","30","41","110","Middle (Kinda Top Heavy)","1","1","1","1","1","1","C++","1","1","1","1","1","1","Coral","1","1","1","L4","Deep",""
frc4467,2025,2025tnkn,frc3843,"1","1","2","Rev Swerve","2.5","32","27","max extension to top of barge","113.8","Low (Not top heavy)","1.5","1.5","1","1","0","1","Java","1","0","0","0","1","1","Mostly algae cycle","1","1","1","Mobility and score L1","Deep",""
frc4467,2025,2025tnkn,frc3937,"4","1","8","SDS MK4 LT2","1","29.75","29.75","36","113","Low (Not top heavy)","1","1","1","1","1","1","Java","1","1","1","1","1","1","Flexible","1","1","1","I4, J4 OR F4, E4","Deep",""
frc4467,2025,2025tnkn,frc3966,"1","2","1","Rev Swerve","3","30","30","42","80","Middle (Kinda Top Heavy)","2","3","0","0","1","1","Java","1","1","1","1","0","0","L4 to hp work down7 sec cycle","1","1","1","J4 to hp k4 to hp E4 to hp c4 to hp","Park",""
frc4467,2025,2025tnkn,frc3984,"1","3","4","Rev Swerve","","29.5”","29.5”","starting height 40”","112","Low (Not top heavy)","2","","0","0","1","0","Java","1","1","1","1","0","0","start with L4 and work their way down","1","1","1","A4","Deep",""
frc4467,2025,2025tnkn,frc4020,"2","1","3","Rev Swerve","","31.5”","28”","41.5”","113","Low (Not top heavy)","1.3","","0","0","0","0","","1","1","1","1","1","1","Try to get as many rankings points as possible","1","0","1","JKL4 or EDC4","Deep",""
frc4467,2025,2025tnkn,frc4065,"3","1","10","SDS MK4 LT2","1","29.5","29.5","40","114.6","Middle (Kinda Top Heavy)","2","2","0","1","1","1","Java","0","1","1","1","1","1","Score coral and algae in the barge","1","0","1","Processor side e4 then HP d4 hp c4Non processor side j4 hp k4 hp","Deep",""
frc4467,2025,2025tnkn,frc4265,"3","1","10","Custom Swerve","1","28","26","42 start, 96 max height","114.3","Low (Not top heavy)","1","1","1","1","1","1","Java","1","1","1","1","1","1","Coral Cycle RP, climb, prioritize ranking points","1","0","1","3 L4","Deep",""
frc4467,2025,2025tnkn,frc4306,"1","1","4","SDS MK4 LT2","1","32","27","6ft fully extended 3ft starting","110","Low (Not top heavy)","2.5-3","3-3.5","0","1","1","1","Java ","1","1","1","1","1","0","cycle l4","0","0","0","no auto yet, working on it","Shallow",""
frc4467,2025,2025tnkn,frc4467,"5","2","1","SDS MK4 LT2","1","29.5","30","47.75","114.1","Low (Not top heavy)","2","1","1","0","1","1","Java","1","1","1","1","1","1","Focus on coral and fill the reef","1","0","1","3 coral in L4","Deep",""
frc4467,2025,2025tnkn,frc4504,"3","2","3","SDS MK4 LT1","1","29","29","34","95","Low (Not top heavy)","2","1","0","1","1","0","Python","1","0","0","0","1","0","Offense cycling algae","1","1","1","Leave line","Deep",""
frc4467,2025,2025tnkn,frc4576,"2","2","5","Rev Swerve","3","23","27","41","108","Middle (Kinda Top Heavy)","2","1","0","0","1","1","Java","1","1","1","1","0","1","Hp to reefDefense if necessary ","0","1","0","Either a4, b4, g4, h4","Park",""
frc4467,2025,2025tnkn,frc4630,"1","1","7","Rev Swerve","","29”","29”","36.5” at rest","90”","Low (Not top heavy)","1.2","","0","0","1","1","Java","1","1","1","0","0","0","doing what team needs","1","1","1","drive forward","Park",""
frc4467,2025,2025tnkn,frc5002,"2","1","10","Rev Swerve","","28”","28”","90” extended 40” reg","111","Middle (Kinda Top Heavy)","1.2","","0","0","1","0","Java","0","1","1","1","0","0","start with L4 and then go downaround 15/match","1","1","1","A4 and B4","Deep",""
frc4467,2025,2025tnkn,frc5045,"1","1","2","SDS MK4 LT2","2","30","30","40","90","High (Easy to Fall Over)","3","4","0","0","1","0","Java","0","1","1","0","0","0","Cycle l3 from hp defense if necessary ","0","1","0","Taxi g3 or h3","Park",""
frc4467,2025,2025tnkn,frc5744,"2","0","0","Rev Swerve","2","29","29","42 start","90","Low (Not top heavy)","2.5","3.5","0","0","1","0","Java","1","1","1","0","0","0","mainly defense, coral cycle if possible","0","1","0","1 L3","Park","might be able to do L4"
frc4467,2025,2025tnkn,frc5816,"3","3","8","Rev Swerve","2","28","28","6 foot max extension","117.6 with bumpers and battery","Middle (Kinda Top Heavy)","2","2","1","0","1","0","Java","1","1","1","1","0","0","Coral Cycle","1","1","1","Mobility and L4","Deep",""
frc4467,2025,2025tnkn,frc5847,"2","1","9","SDS MK4 LT2","1","24","30","~42","114","Middle (Kinda Top Heavy)","1","1","1","1","1","1","Java","1","1","1","1","1","1","Coral and algae cycles ","1","1","1","I4, J4 OR F4, E4 OR G4, H4","Park",""
frc4467,2025,2025tnkn,frc6517,"2","2","8","WCP Swerve X","2","22","22","40.5","115","Middle (Kinda Top Heavy)","","","0","0","1","1","Java","0","1","1","1","0","0","L4 to hp works down","1","1","1","Processor side i4 to hp to L4Non Processor side i4 to hp to L4","Deep",""
frc4467,2025,2025tnkn,frc7072,"3","1","10","WCP Swerve X","","29","29","41”","110lbs","Low (Not top heavy)","2","","0","0","1","0","Java","1","1","1","1","0","0","Fill up L4","1","1","1","EDC4 or JKL4 or G4","Deep",""
frc4467,2025,2025tnkn,frc7255,"4","2","1","Custom Swerve","","28","28","42”","110 lbs","Middle (Kinda Top Heavy)","2","","0","0","1","1","Java","0","1","1","1","0","0","Fill up L2 and L3 and L4","1","1","1","Drive off line","Park",""
frc4467,2025,2025tnkn,frc7428,"2","1","2","SDS MK4 LT1","2","28","28","36","114.5","High (Easy to Fall Over)","2","1","0","1","1","1","Java","1","1","1","1","1","0","Hp to reef l4 down processer","0","1","0","G4 to proccesor","Deep",""
frc4467,2025,2025tnkn,frc7483,"5","2","6","Custom West Coast Drive","2","28","25","41","108","Low (Not top heavy)","2","2","0","0","1","1","Java","1","1","1","1","1","1","Can work with anything","1","1","1","Leave ","Deep","Scoring in processor is unsure  "
frc4467,2025,2025tnkn,frc8570,"2","2","3","SDS MK4 LT2","","26","26","5 foot 6 ","97","Low (Not top heavy)","","","1","1","1","0","Java","1","1","1","0","1","0","Coral RP themselves, then coop themselves. ","1","0","1","Left - 3 L2 Right - 3 L3 and algae descore","Deep",""
frc4467,2025,2025tnkn,frc9152,"1","0","2","Rev Swerve","2","29","29","26","70 under","Low (Not top heavy)","2","1","0","1","0","0","Java","0","0","0","0","1","0","Algae processor","1","1","1","Leave line","Deep","Testing climb "
frc4467,2025,2025tnkn,frc9668,"2","1","2","Rev Swerve","3","26.5","33.5","42","92","Low (Not top heavy)","3","2","0","1","1","1","Java","1","1","1","1","1","0","Processor for quality and coral for playoffs.Hp to reef l4 then down","1","1","1","Taxi and f1Taxi andh1Taxi and i1","Park",""
frc4467,2025,2025tnkn,frc10101,"0","0","0","Custom - See Notes","1","28","28","41 starting","90.8","Low (Not top heavy)","2","2.5","0","0","1","0","Java","0","1","1","1","0","0","Cycle L4","1","1","1","currently just mobility, testing 1 L4","Deep","Thrifty Swerve"
frc4467,2025,2025tnkn,frc10137,"1","1","1","Kitbot Chassis  AM14U","","27","33","Undetermined","Undetermined ","Low (Not top heavy)","1.5","","0","1","0","0","Java","0","0","0","0","1","0","Score in processor","1","1","1","Drive off line","Park",""
frc4467,2025,2025tnkn,frc10269,"0","0","0","Kitbot Chassis  AM14U","5","28.25","28","42","90","Low (Not top heavy)","5","5","0","0","1","0","Java","1","0","0","0","0","0","L1 hp possibly defense","0","0","0","No auto","Park",""
frc4467,2025,2025tnkn,frc10479,"1","1","1","Custom Swerve","1","27.5","27.5","41 in","110","Low (Not top heavy)","1","1","0","0","1","0","Java","0","1","1","1","0","0","Coral","1","1","1","2L4 or 3L3","Deep",""